 sig=   -1.000000000000000     
 dt=   4.0000000000000001E-010
 steps=      4000000
 x0=   0.1949999928474426         1.396199941635132      
    8.123700141906738     
 u=    100000.0000000000     
 v_perp=    430000.0000000000     
 
istep         r       z        zeta
     400    1.1652721854E+00    1.9140036945E-01    8.1366430063E+00
     800    1.1634000943E+00    1.9023030550E-01    8.1497273703E+00
    1200    1.1615017558E+00    1.8908302656E-01    8.1629215997E+00
    1600    1.1595777045E+00    1.8795934341E-01    8.1762263772E+00
    2000    1.1576285037E+00    1.8686005951E-01    8.1896423995E+00
    2400    1.1556547448E+00    1.8578597006E-01    8.2031703771E+00
    2800    1.1536570475E+00    1.8473786117E-01    8.2168110336E+00
    3200    1.1516360595E+00    1.8371650900E-01    8.2305651058E+00
    3600    1.1495924562E+00    1.8272267889E-01    8.2444333431E+00
    4000    1.1475269404E+00    1.8175712455E-01    8.2584165068E+00
    4400    1.1454402420E+00    1.8082058727E-01    8.2725153697E+00
    4800    1.1433331178E+00    1.7991379510E-01    8.2867307157E+00
    5200    1.1412063514E+00    1.7903746212E-01    8.3010633390E+00
    5600    1.1390607525E+00    1.7819228769E-01    8.3155140436E+00
    6000    1.1368971567E+00    1.7737895572E-01    8.3300836427E+00
    6400    1.1347164255E+00    1.7659813404E-01    8.3447729575E+00
    6800    1.1325194456E+00    1.7585047369E-01    8.3595828172E+00
    7200    1.1303071290E+00    1.7513660835E-01    8.3745140575E+00
    7600    1.1280804125E+00    1.7445715371E-01    8.3895675203E+00
    8000    1.1258402576E+00    1.7381270693E-01    8.4047440525E+00
    8400    1.1235876502E+00    1.7320384609E-01    8.4200445051E+00
    8800    1.1213236008E+00    1.7263112975E-01    8.4354697326E+00
    9200    1.1190491440E+00    1.7209509640E-01    8.4510205913E+00
    9600    1.1167653384E+00    1.7159626407E-01    8.4666979390E+00
   10000    1.1144732673E+00    1.7113512990E-01    8.4825026335E+00
   10400    1.1121740380E+00    1.7071216974E-01    8.4984355313E+00
   10800    1.1098687821E+00    1.7032783775E-01    8.5144974869E+00
   11200    1.1075586562E+00    1.6998256609E-01    8.5306893511E+00
   11600    1.1052448415E+00    1.6967676450E-01    8.5470119699E+00
   12000    1.1029285447E+00    1.6941081999E-01    8.5634661832E+00
   12400    1.1006109977E+00    1.6918509644E-01    8.5800528233E+00
   12800    1.0982934590E+00    1.6899993431E-01    8.5967727137E+00
   13200    1.0959772132E+00    1.6885565016E-01    8.6136266671E+00
   13600    1.0936635723E+00    1.6875253635E-01    8.6306154844E+00
   14000    1.0913538760E+00    1.6869086053E-01    8.6477399528E+00
   14400    1.0890494922E+00    1.6867086520E-01    8.6650008443E+00
   14800    1.0867518177E+00    1.6869276723E-01    8.6823989139E+00
   15200    1.0844622790E+00    1.6875675724E-01    8.6999348982E+00
   15600    1.0821823325E+00    1.6886299905E-01    8.7176095132E+00
   16000    1.0799134651E+00    1.6901162895E-01    8.7354234528E+00
   16400    1.0776571947E+00    1.6920275501E-01    8.7533773871E+00
   16800    1.0754150706E+00    1.6943645627E-01    8.7714719602E+00
   17200    1.0731886732E+00    1.6971278186E-01    8.7897077887E+00
   17600    1.0709796146E+00    1.7003175011E-01    8.8080854599E+00
   18000    1.0687895377E+00    1.7039334751E-01    8.8266055294E+00
   18400    1.0666201165E+00    1.7079752775E-01    8.8452685196E+00
   18800    1.0644730544E+00    1.7124421058E-01    8.8640749179E+00
   19200    1.0623500840E+00    1.7173328070E-01    8.8830251745E+00
   19600    1.0602529654E+00    1.7226458668E-01    8.9021197004E+00
   20000    1.0581834845E+00    1.7283793977E-01    8.9213588656E+00
   20400    1.0561434508E+00    1.7345311278E-01    8.9407429971E+00
   20800    1.0541346951E+00    1.7410983906E-01    8.9602723765E+00
   21200    1.0521590667E+00    1.7480781139E-01    8.9799472384E+00
   21600    1.0502184299E+00    1.7554668111E-01    8.9997677676E+00
   22000    1.0483146607E+00    1.7632605725E-01    9.0197340972E+00
   22400    1.0464496425E+00    1.7714550586E-01    9.0398463063E+00
   22800    1.0446252622E+00    1.7800454945E-01    9.0601044169E+00
   23200    1.0428434049E+00    1.7890266665E-01    9.0805083920E+00
   23600    1.0411059498E+00    1.7983929208E-01    9.1010581325E+00
   24000    1.0394147649E+00    1.8081381643E-01    9.1217534742E+00
   24400    1.0377717015E+00    1.8182558675E-01    9.1425941851E+00
   24800    1.0361785895E+00    1.8287390709E-01    9.1635799621E+00
   25200    1.0346372319E+00    1.8395803932E-01    9.1847104276E+00
   25600    1.0331494000E+00    1.8507720421E-01    9.2059851265E+00
   26000    1.0317168285E+00    1.8623058283E-01    9.2274035223E+00
   26400    1.0303412112E+00    1.8741731809E-01    9.2489649941E+00
   26800    1.0290241970E+00    1.8863651660E-01    9.2706688328E+00
   27200    1.0277673864E+00    1.8988725061E-01    9.2925142379E+00
   27600    1.0265723287E+00    1.9116856016E-01    9.3145003139E+00
   28000    1.0254405202E+00    1.9247945531E-01    9.3366260674E+00
   28400    1.0243734025E+00    1.9381891834E-01    9.3588904038E+00
   28800    1.0233723627E+00    1.9518590605E-01    9.3812921249E+00
   29200    1.0224387333E+00    1.9657935186E-01    9.4038299261E+00
